#OTU_ID	15M	15T	1M	1T	4M	4T	52M	52T	56M	56T	58M	58T	Blank	JP-CFB-09M	JP-CFB-09T	JP-CFB-11M	JP-CFB-11T	JP-CFB-17M	JP-CFB-17T	JP-CFB-23M	JP-CFB-23T	JP-CFB-30M	JP-CFB-30T	JP-CFB-53M	JP-CFB-53T	JP-CFB-Blank1
34e7cc83f26a4779b779e5d2fdce74aa	0.0	287.0	75.0	85.0	0.0	0.0	91.0	273.0	305.0	253.0	152.0	178.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0
5b9f7163aa9f3d46dc6c4bf4971f8ccb	132.0	65.0	278.0	366.0	189.0	302.0	97.0	176.0	64.0	0.0	67.0	0.0	0.0	0.0	0.0	41.0	15.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0
8b14ccc2d4a1b5c01512fc9f003721cf	69.0	245.0	160.0	0.0	74.0	57.0	78.0	0.0	265.0	246.0	212.0	177.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	27.0	45.0	61.0	55.0	0.0	0.0	0.0
54c12e3b41b052d39334d3d14a296f8f	126.0	158.0	450.0	0.0	337.0	0.0	192.0	0.0	96.0	52.0	166.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	52.0	0.0	33.0	0.0	0.0
aebcb3fbdf6fb7ebeee94f2b965b2081	20.0	195.0	126.0	266.0	121.0	260.0	64.0	30.0	208.0	109.0	144.0	50.0	0.0	0.0	24.0	0.0	0.0	39.0	0.0	0.0	26.0	17.0	45.0	0.0	0.0	0.0
d7ea0970717a9231004a13c168f08d00	141.0	0.0	356.0	0.0	197.0	76.0	178.0	0.0	172.0	177.0	156.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	137.0	0.0	0.0	0.0	0.0	0.0
62675d77af960c99bf622c96eba42707	316.0	0.0	533.0	0.0	249.0	0.0	168.0	100.0	72.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
ddec5b77d0f62bdbf8fe2d35c2f09e2c	0.0	110.0	29.0	0.0	107.0	64.0	48.0	0.0	170.0	276.0	197.0	484.0	0.0	41.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	37.0	41.0	25.0	0.0	0.0
c6094281dddd6317d16562ed89370a3b	0.0	127.0	170.0	46.0	0.0	0.0	0.0	121.0	213.0	201.0	196.0	225.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0
f150d587dc3434b5074985dc302ec094	0.0	75.0	0.0	467.0	364.0	492.0	0.0	0.0	44.0	43.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
f84e074dc8597c9c37756cc00c3cb745	97.0	0.0	499.0	33.0	184.0	28.0	223.0	26.0	38.0	33.0	173.0	65.0	0.0	24.0	0.0	0.0	0.0	0.0	43.0	17.0	61.0	0.0	28.0	0.0	0.0	0.0
a947e2a74dac13b77104a29fe40afb6e	0.0	0.0	244.0	0.0	123.0	0.0	142.0	0.0	134.0	49.0	370.0	305.0	0.0	0.0	0.0	0.0	0.0	67.0	88.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
6961f6e7dc79c9993b66caeae79fe089	112.0	0.0	228.0	13.0	128.0	0.0	283.0	49.0	122.0	63.0	233.0	242.0	0.0	42.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
233d529600b771fee6bf04148ddca491	112.0	0.0	79.0	0.0	143.0	0.0	187.0	0.0	204.0	87.0	300.0	114.0	0.0	103.0	0.0	41.0	0.0	0.0	50.0	0.0	79.0	0.0	0.0	38.0	0.0	0.0
567b4f7591ffcd35d60ff5e9f1de8d71	78.0	0.0	109.0	0.0	121.0	0.0	110.0	108.0	167.0	93.0	205.0	170.0	0.0	84.0	0.0	52.0	0.0	0.0	121.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
efcc3aff75cfc281e4f77de35f7362c4	67.0	74.0	327.0	0.0	141.0	108.0	82.0	0.0	56.0	0.0	207.0	83.0	0.0	0.0	0.0	79.0	0.0	0.0	96.0	118.0	75.0	0.0	0.0	0.0	0.0	0.0
496bdcc1b1d3b0ef65cb516f73710706	0.0	285.0	19.0	341.0	104.0	159.0	0.0	0.0	111.0	114.0	108.0	72.0	0.0	0.0	33.0	0.0	28.0	65.0	0.0	0.0	0.0	0.0	23.0	0.0	31.0	0.0
63fe3ec15d380f738b108b01026a7d64	0.0	109.0	0.0	461.0	25.0	108.0	7.0	40.0	170.0	294.0	0.0	27.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	17.0
2f3d9a4bb6ab4c29723b1b4f281f95db	233.0	45.0	280.0	73.0	89.0	46.0	282.0	196.0	0.0	0.0	60.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0
3bfe5dc418035cf89226a65f67b4fbbc	103.0	107.0	205.0	0.0	110.0	0.0	164.0	0.0	176.0	76.0	285.0	65.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	56.0	0.0	50.0	15.0	0.0	0.0
fee3a0f116dcfbfc1c7a28985929492a	0.0	34.0	0.0	51.0	28.0	14.0	33.0	176.0	69.0	49.0	0.0	0.0	0.0	0.0	22.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	359.0	524.0	56.0
98bf9163763f0be7e360d685e9804f58	111.0	0.0	164.0	81.0	54.0	138.0	727.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fd0d5d855a4ee2003c93e298b7921ec4	0.0	149.0	0.0	0.0	0.0	0.0	0.0	115.0	206.0	145.0	277.0	324.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0
db8e6504964e8d9ae34cf67d7ee4d671	0.0	107.0	0.0	0.0	104.0	94.0	340.0	563.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0
e4cbb217c7d8560d592e8539522dd644	198.0	46.0	175.0	0.0	85.0	51.0	158.0	59.0	139.0	120.0	166.0	88.0	0.0	21.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
609d8d90409298217a44f3eef8fd809b	83.0	70.0	170.0	52.0	105.0	93.0	87.0	62.0	145.0	77.0	158.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
49b58d481fa3be4b09a45233aef5a3fb	140.0	0.0	458.0	27.0	138.0	0.0	74.0	0.0	90.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	72.0	0.0	0.0	0.0	0.0	0.0
e260a1c1193c9287b061099d95bb1727	96.0	144.0	96.0	101.0	75.0	205.0	100.0	0.0	145.0	99.0	122.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99595077de57d032daf652e73a2f53c5	103.0	0.0	352.0	0.0	83.0	0.0	124.0	0.0	200.0	102.0	165.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6aab6dfa42d968f8aa2476ec8dac4aab	41.0	89.0	161.0	0.0	38.0	35.0	63.0	76.0	66.0	61.0	234.0	71.0	0.0	32.0	0.0	29.0	10.0	34.0	29.0	47.0	40.0	33.0	21.0	35.0	0.0	0.0
d534ebfd828b08b9e44db038147515cf	190.0	89.0	258.0	0.0	78.0	0.0	48.0	0.0	101.0	50.0	215.0	0.0	0.0	50.0	0.0	35.0	0.0	0.0	0.0	0.0	54.0	0.0	65.0	0.0	0.0	0.0
eeda48eabf48923185c483492ee3996f	178.0	0.0	374.0	0.0	109.0	13.0	0.0	0.0	107.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	126.0	0.0	0.0	0.0	0.0	0.0
a2bd24e7d0b45679bba8fcfff172b12c	112.0	0.0	363.0	0.0	154.0	107.0	128.0	0.0	100.0	0.0	153.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9f3dafed1ddda0a39e3284fbff8ac8a7	64.0	104.0	76.0	110.0	87.0	137.0	80.0	33.0	90.0	73.0	150.0	102.0	0.0	0.0	0.0	0.0	32.0	35.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
